"","Date","Price","Open","High","Low","Vol.","Change..","date","new_cases","new_deaths","location","new_vaccinations","new_tests","population","population_density","Price_mul30"
"119","Sep 22, 2021",7296.9,"7,273.80","7,338.60","7,241.80","663.95M","0.32%",2021-09-22,1809,10,"Australia",336435,221979,25788217,3.202,218907
"118","Sep 23, 2021",7370.2,"7,296.90","7,387.00","7,296.90","696.69M","1.00%",2021-09-23,1764,12,"Australia",346941,229864,25788217,3.202,221106
"117","Sep 24, 2021",7342.6,"7,370.20","7,377.00","7,334.20","666.26M","-0.37%",2021-09-24,1865,12,"Australia",310453,215327,25788217,3.202,220278
"116","Sep 27, 2021",7384.2,"7,342.60","7,416.40","7,342.60","630.60M","0.57%",2021-09-27,1880,11,"Australia",302732,170072,25788217,3.202,221526
"115","Sep 28, 2021",7275.6,"7,384.20","7,384.20","7,275.60","753.73M","-1.47%",2021-09-28,1812,23,"Australia",330962,203804,25788217,3.202,218268
"114","Sep 29, 2021",7196.7,"7,275.60","7,275.60","7,145.70","850.92M","-1.08%",2021-09-29,2400,12,"Australia",307852,210417,25788217,3.202,215901
"113","Sep 30, 2021",7332.2,"7,196.70","7,332.20","7,196.70","801.81M","1.88%",2021-09-30,2058,20,"Australia",340206,214250,25788217,3.202,219966
"112","Oct 01, 2021",7185.5,"7,332.20","7,332.20","7,157.90","785.10M","-2.00%",2021-10-01,2335,10,"Australia",325998,203061,25788217,3.202,215565
"111","Oct 04, 2021",7278.5,"7,185.50","7,305.90","7,185.50","464.15M","1.29%",2021-10-04,2389,11,"Australia",185229,169509,25788217,3.202,218355
"110","Oct 05, 2021",7248.4,"7,278.50","7,278.50","7,202.70","735.94M","-0.41%",2021-10-05,2026,22,"Australia",349856,173171,25788217,3.202,217452
"109","Oct 06, 2021",7206.5,"7,248.40","7,279.40","7,183.50","726.94M","-0.58%",2021-10-06,2216,10,"Australia",335452,189565,25788217,3.202,216195
"108","Oct 07, 2021",7256.7,"7,206.50","7,265.20","7,206.50","718.86M","0.70%",2021-10-07,2524,16,"Australia",330622,220866,25788217,3.202,217701
"107","Oct 08, 2021",7320.1,"7,256.70","7,322.00","7,256.70","630.30M","0.87%",2021-10-08,2515,16,"Australia",330414,211751,25788217,3.202,219603
"106","Oct 11, 2021",7299.8,"7,320.10","7,320.10","7,250.00","613.01M","-0.28%",2021-10-11,1848,13,"Australia",312260,185405,25788217,3.202,218994
"105","Oct 12, 2021",7280.7,"7,299.80","7,330.40","7,260.40","669.14M","-0.26%",2021-10-12,2029,17,"Australia",336239,178619,25788217,3.202,218421
"104","Oct 13, 2021",7272.5,"7,280.70","7,294.00","7,256.30","589.78M","-0.11%",2021-10-13,2744,18,"Australia",318459,210259,25788217,3.202,218175
"103","Oct 14, 2021",7311.7,"7,272.50","7,358.60","7,272.50","648.07M","0.54%",2021-10-14,2532,11,"Australia",312722,197156,25788217,3.202,219351
"102","Oct 15, 2021",7362,"7,311.70","7,373.20","7,311.70","565.80M","0.69%",2021-10-15,2311,8,"Australia",298975,185923,25788217,3.202,220860
"101","Oct 18, 2021",7381.1,"7,362.00","7,393.80","7,354.10","562.54M","0.26%",2021-10-18,2038,15,"Australia",277427,152710,25788217,3.202,221433
"100","Oct 19, 2021",7374.9,"7,381.10","7,406.90","7,373.80","581.73M","-0.08%",2021-10-19,2097,19,"Australia",275350,179749,25788217,3.202,221247
"99","Oct 20, 2021",7413.7,"7,374.90","7,449.50","7,374.90","746.76M","0.53%",2021-10-20,2544,13,"Australia",274371,192296,25788217,3.202,222411
"98","Oct 21, 2021",7415.4,"7,413.70","7,446.70","7,403.70","751.88M","0.02%",2021-10-21,2547,21,"Australia",277103,188693,25788217,3.202,222462
"97","Oct 22, 2021",7415.5,"7,415.40","7,431.40","7,391.30","638.59M","0.00%",2021-10-22,1883,11,"Australia",270165,171882,25788217,3.202,222465
"96","Oct 25, 2021",7441,"7,415.50","7,471.70","7,415.50","464.11M","0.34%",2021-10-25,1786,5,"Australia",232426,139527,25788217,3.202,223230
